origin,destination,routeCount,ok,mismatches
Reading,Salem,8,true,""
Wood Island,Stony Brook,8,true,""
Summit Avenue,Readville,8,true,""
Summit Avenue,Waverley,8,true,""
Mishawum,Fenwood Road,8,true,""
Ipswich,Mission Park,8,true,""
Longwood Medical Area,Assembly,8,true,""
West Roxbury,Hastings,8,true,""
Saint Marys Street,Norwood Central,8,true,""
Whitman,Plimptonville,8,true,""
Fairmount,Community College,8,true,""
Summit Avenue,South Acton,8,true,""
Ipswich,Shirley,8,true,""
Oak Grove,North Billerica,8,true,""
Salem,Massachusetts Avenue,8,true,""
Prudential,Waverley,8,true,""
Symphony,Assembly,8,true,""
Lowell,Oak Grove,8,true,""
Chestnut Hill Avenue,Babcock Street,8,true,""
Rockport,South Street,8,true,""
Government Center,Montserrat,8,true,""
Oak Grove,Wilmington,8,true,""
West Hingham,Boston University West,8,true,""
Mishawum,Shawmut,8,true,""
Fairmount,Plymouth,8,true,""
Newtonville,Wachusett,8,true,""
Needham Heights,Highland,8,true,""
Prides Crossing,Back Bay,8,true,""
Blandford Street,Prides Crossing,8,true,""
Foxboro,Wilmington,8,true,""
Haverhill,Back of the Hill,8,true,""
Highland,Assembly,8,true,""
Rowley,Charles/MGH,8,true,""
North Quincy,Woodland,8,true,""
Pleasant Street,South Acton,8,true,""
Stony Brook,Porter,8,true,""
Symphony,Chinatown,8,true,""
Roslindale Village,Andover,8,true,""
Fairbanks Street,Alewife,8,true,""
Stoughton,Chelsea,8,true,""
Ipswich,West Medford,8,true,""
Chestnut Hill Avenue,Science Park/West End,8,true,""
Greenwood,Mishawum,8,true,""
Montserrat,Littleton/Route 495,8,true,""
Salem,Rowley,8,true,""
South Station,Cleveland Circle,8,true,""
Melrose/Cedar Park,Alewife,8,true,""
South Street,Kent Street,8,true,""
West Concord,Canton Junction,8,true,""
Reservoir,Andover,8,true,""
North Wilmington,Plymouth,8,true,""
West Newton,Kendal Green,8,true,""
Chestnut Hill Avenue,Highland,8,true,""
Lawrence,Mission Park,8,true,""
Harvard,West Concord,8,true,""
South Street,Mansfield,8,true,""
Fenway,Salem,8,true,""
Saint Marys Street,Beverly Farms,8,true,""
South Street,Attleboro,8,true,""
Reading,Kendal Green,8,true,""
Ashmont,Islington,8,true,""
Ballardvale,Fairbanks Street,8,true,""
Harvard Avenue,Wollaston,8,true,""
Lawrence,Symphony,8,true,""
Back of the Hill,Chiswick Road,8,true,""
Suffolk Downs,Ashmont,8,true,""
Roslindale Village,Malden Center,8,true,""
Newton Centre,Shirley,8,true,""
Anderson/Woburn,JFK/UMass,8,true,""
Longwood Medical Area,Wedgemere,8,true,""
Allston Street,Chelsea,8,true,""
Heath Street,Worcester/Union Station,8,true,""
Riverside,Fairbanks Street,8,true,""
Needham Heights,Foxboro,8,true,""
Stony Brook,South Street,8,true,""
Beverly Farms,North Wilmington,8,true,""
Sharon,Providence,8,true,""
Forest Hills,Bradford,8,true,""
Tufts Medical Center,Wakefield,8,true,""
Fields Corner,Melrose Highlands,8,true,""
Kendal Green,Quincy Center,8,true,""
West Hingham,Fitchburg,8,true,""
Worcester/Union Station,Norwood Central,8,true,""
Waverley,Ayer,8,true,""
Forest Hills,Norwood Central,8,true,""
Beverly,Warren Street,8,true,""
Waverley,Ballardvale,8,true,""
Orient Heights,Fairbanks Street,8,true,""
Revere Beach,Auburndale,8,true,""
Pleasant Street,Longwood,8,true,""
Dedham Corporate Center,Newmarket,8,true,""
Revere Beach,Forge Park/495,8,true,""
Silver Hill,Broadway,8,true,""
Government Center,North Station,8,true,""
Chestnut Hill Avenue,Wonderland,8,true,""
South Station,Fenwood Road,8,true,""
Montserrat,Waban,8,true,""
Forest Hills,Green Street,8,true,""
Rowley,Belmont,8,true,""
Salem,Beverly Farms,8,true,""
Beverly Farms,Rockport,8,true,""
Ashmont,Newmarket,8,true,""
Belmont,Bowdoin,8,true,""
Newtonville,Nantasket Junction,8,true,""
Hanson,West Hingham,8,true,""
Harvard Avenue,Community College,8,true,""
Norfolk,Talbot Avenue,8,true,""
Boylston,Chiswick Road,8,true,""
Dean Road,Lowell,8,true,""
Green Street,Brandon Hall,8,true,""
Babcock Street,Washington Square,8,true,""
Hersey,Assembly,8,true,""
Park Street,Sullivan Square,8,true,""
Longwood,Malden Center,8,true,""
Mission Park,Assembly,8,true,""
T.F. Green Airport,Boston University West,8,true,""
Plimptonville,Ayer,8,true,""
Islington,Framingham,8,true,""
Hamilton/Wenham,Newton Highlands,8,true,""
Fenway,Chiswick Road,8,true,""
Wollaston,Gloucester,8,true,""
Washington Square,Wedgemere,8,true,""
Hersey,Hanson,8,true,""
Jackson Square,Wellesley Square,8,true,""
Hamilton/Wenham,Prides Crossing,8,true,""
South Weymouth,Hastings,8,true,""
Kendal Green,Braintree,8,true,""
Highland,Greenwood,8,true,""
Blandford Street,Heath Street,8,true,""
Alewife,Beverly,8,true,""
Belmont,Swampscott,8,true,""
Dean Road,Brookline Hills,8,true,""
Needham Junction,Wilmington,8,true,""
Andover,Forge Park/495,8,true,""
Arlington,Bradford,8,true,""
Saint Marys Street,Revere Beach,8,true,""
Back of the Hill,Wonderland,8,true,""
Orient Heights,Ayer,8,true,""
Packards Corner,Waban,8,true,""
Ashland,Waltham,8,true,""
Kendal Green,Anderson/Woburn,8,true,""
Kent Street,North Leominster,8,true,""
Quincy Center,Harvard,8,true,""
Harvard Avenue,Prides Crossing,8,true,""
Foxboro,Chestnut Hill,8,true,""
Kendall/MIT,Hamilton/Wenham,8,true,""
Wollaston,Anderson/Woburn,8,true,""
West Gloucester,Haverhill,8,true,""
South Attleboro,Hawes Street,8,true,""
Foxboro,Wellesley Farms,8,true,""
Ayer,Brandon Hall,8,true,""
Worcester/Union Station,Sullivan Square,8,true,""
Plymouth,East Weymouth,8,true,""
Prides Crossing,Revere Beach,8,true,""
Ashland,Shirley,8,true,""
Ballardvale,Maverick,8,true,""
Boston University Central,Symphony,8,true,""
Canton Center,Ballardvale,8,true,""
Central,Hyde Park,8,true,""
Alewife,North Scituate,8,true,""
Longwood,Porter,8,true,""
Warren Street,South Street,8,true,""
Needham Heights,Government Center,8,true,""
Symphony,Wedgemere,8,true,""
Gloucester,Chelsea,8,true,""
Lawrence,Needham Center,8,true,""
Prudential,Mansfield,8,true,""
Ashland,Wakefield,8,true,""
Franklin/Dean College,Brookline Village,8,true,""
Fairbanks Street,Needham Heights,8,true,""
Bradford,Mishawum,8,true,""
Hastings,Montserrat,8,true,""
North Beverly,Talbot Avenue,8,true,""
South Acton,Newton Highlands,8,true,""
West Hingham,Swampscott,8,true,""
Washington Street,Reading,8,true,""
Boston University West,Weymouth Landing/East Braintree,8,true,""
North Wilmington,Endicott,8,true,""
Tufts Medical Center,Reservoir,8,true,""
Hersey,Brandeis/Roberts,8,true,""
North Quincy,T.F. Green Airport,8,true,""
North Scituate,Fairbanks Street,8,true,""
Boston University East,Bradford,8,true,""
Needham Center,Waban,8,true,""
Prudential,Chiswick Road,8,true,""
Roxbury Crossing,Brandeis/Roberts,8,true,""
Littleton/Route 495,Lechmere,8,true,""
Lynn,Worcester/Union Station,8,true,""
Blandford Street,Ashmont,8,true,""
Chestnut Hill Avenue,Lowell,8,true,""
North Wilmington,Jackson Square,8,true,""
Weymouth Landing/East Braintree,Roslindale Village,8,true,""
Copley,Fenway,8,true,""
Ballardvale,North Scituate,8,true,""
Greenbush,Dean Road,8,true,""
Hanson,Pleasant Street,8,true,""
Kendall/MIT,Endicott,8,true,""
Hawes Street,Manchester,8,true,""
South Street,Concord,8,true,""
Newmarket,Needham Junction,8,true,""
Rockport,Abington,8,true,""
North Billerica,Wickford Junction,8,true,""
Rowley,Reading,8,true,""
North Leominster,Forge Park/495,8,true,""
Summit Avenue,Tappan Street,8,true,""
Norwood Central,South Weymouth,8,true,""
Assembly,Worcester/Union Station,8,true,""
Franklin/Dean College,Shirley,8,true,""
Central,Newburyport,8,true,""
Cleveland Circle,Malden Center,8,true,""
Boston University West,Reservoir,8,true,""
Chiswick Road,Longwood Medical Area,8,true,""
Porter,T.F. Green Airport,8,true,""
Walpole,North Beverly,8,true,""
North Scituate,Weymouth Landing/East Braintree,8,true,""
Kendal Green,Readville,8,true,""
Bradford,Jackson Square,8,true,""
Norwood Central,Silver Hill,8,true,""
Washington Street,State,8,true,""
West Hingham,Oak Grove,8,true,""
Needham Heights,Rockport,8,true,""
Canton Center,Lechmere,8,true,""
Warren Street,Back of the Hill,8,true,""
Attleboro,Worcester/Union Station,8,true,""
Chestnut Hill,Grafton,8,true,""
Harvard,Roslindale Village,8,true,""
Bradford,Route 128,8,true,""
Sullivan Square,Newmarket,8,true,""
Saint Marys Street,Mission Park,8,true,""
Boston University West,Andrew,8,true,""
Tufts Medical Center,Fairbanks Street,8,true,""
North Station,Airport,8,true,""
Cohasset,Halifax,8,true,""
Allston Street,Grafton,8,true,""
Bellevue,Waban,8,true,""
Hawes Street,Babcock Street,8,true,""
Chestnut Hill Avenue,Park Street,8,true,""
Needham Center,Revere Beach,8,true,""
Heath Street,Framingham,8,true,""
Stony Brook,Beverly,8,true,""
Mansfield,Fairbanks Street,8,true,""
Boston College,Haymarket,8,true,""
West Hingham,Shawmut,8,true,""
Kendal Green,Chestnut Hill,8,true,""
Airport,Route 128,8,true,""
West Roxbury,Fairbanks Street,8,true,""
Plymouth,Boston College,8,true,""
Bellevue,Science Park/West End,8,true,""
Porter,Saint Marys Street,8,true,""
Massachusetts Avenue,Fitchburg,8,true,""
Prudential,Ruggles,8,true,""
Davis,Newton Centre,8,true,""
Heath Street,Belmont,8,true,""
Roslindale Village,Braintree,8,true,""
Longwood Medical Area,Winchester Center,8,true,""
Malden Center,Needham Junction,8,true,""
Chestnut Hill Avenue,Fairbanks Street,8,true,""
Norwood Central,Forge Park/495,8,true,""
Griggs Street,Gloucester,8,true,""
Massachusetts Avenue,Griggs Street,8,true,""
Newton Highlands,Haymarket,8,true,""
Central,South Station,8,true,""
Warren Street,Riverside,8,true,""
Stoughton,Assembly,8,true,""
Melrose Highlands,Waban,8,true,""
Weymouth Landing/East Braintree,Orient Heights,8,true,""
Wedgemere,Washington Square,8,true,""
Cleveland Circle,Attleboro,8,true,""
Alewife,Museum of Fine Arts,8,true,""
Brookline Village,Nantasket Junction,8,true,""
Wedgemere,Endicott,8,true,""
Lynn,Four Corners/Geneva,8,true,""
State,Lincoln,8,true,""
Beachmont,Lincoln,8,true,""
Gloucester,Longwood,8,true,""
Longwood Medical Area,Museum of Fine Arts,8,true,""
Central,South Weymouth,8,true,""
Forge Park/495,Mission Park,8,true,""
Auburndale,Broadway,8,true,""
Kingston,Newburyport,8,true,""
Green Street,Harvard Avenue,8,true,""
Wickford Junction,Reservoir,8,true,""
Jackson Square,Back Bay,8,true,""
West Roxbury,Revere Beach,8,true,""
Eliot,West Roxbury,8,true,""
Rowley,Fairbanks Street,8,true,""
Washington Square,Norwood Central,8,true,""
T.F. Green Airport,Beachmont,8,true,""
Franklin/Dean College,Cleveland Circle,8,true,""
Savin Hill,South Attleboro,8,true,""
Kendall/MIT,Newtonville,8,true,""
Stony Brook,Waban,8,true,""
Needham Heights,Mishawum,8,true,""
West Newton,Andover,8,true,""
Ruggles,West Roxbury,8,true,""
Packards Corner,Norwood Central,8,true,""
Longwood Medical Area,South Attleboro,8,true,""
Savin Hill,Kendal Green,8,true,""
North Leominster,North Beverly,8,true,""
Wellington,Kenmore,8,true,""
Quincy Center,North Station,8,true,""
Whitman,Readville,8,true,""
Abington,Melrose Highlands,8,true,""
Harvard,Morton Street,8,true,""
Boston University Central,Yawkey,8,true,""
Beachmont,Tappan Street,8,true,""
Boston University East,West Natick,8,true,""
Chelsea,West Concord,8,true,""
Westborough,Warren Street,8,true,""
Plimptonville,Silver Hill,8,true,""
Ashmont,Waban,8,true,""
Norwood Central,Route 128,8,true,""
West Roxbury,Savin Hill,8,true,""
Kendal Green,Abington,8,true,""
Davis,Needham Junction,8,true,""
Forest Hills,Boston University Central,8,true,""
Grafton,Northeastern University,8,true,""
Montserrat,Wickford Junction,8,true,""
Massachusetts Avenue,Harvard,8,true,""
Cleveland Circle,Community College,8,true,""
Canton Junction,Andrew,8,true,""
Washington Square,Montserrat,8,true,""
Wyoming Hill,Forge Park/495,8,true,""
Natick Center,Ballardvale,8,true,""
Downtown Crossing,Andrew,8,true,""
Hawes Street,Four Corners/Geneva,8,true,""
Prides Crossing,Boston University East,8,true,""
Greenwood,Boston University East,8,true,""
Porter,Chelsea,8,true,""
Mission Park,Wyoming Hill,8,true,""
Talbot Avenue,Brookline Village,8,true,""
Canton Center,North Scituate,8,true,""
Forest Hills,Highland,8,true,""
Alewife,Lawrence,8,true,""
Hawes Street,Newton Highlands,8,true,""
Montserrat,Winchester Center,8,true,""
Hersey,Waban,8,true,""
Riverside,Greenwood,8,true,""
Eliot,Sullivan Square,8,true,""
Andover,Jackson Square,8,true,""
Quincy Adams,Needham Junction,8,true,""
East Weymouth,Forest Hills,8,true,""
Wachusett,South Street,8,true,""
Fairmount,Hyde Park,8,true,""
Fields Corner,Chestnut Hill Avenue,8,true,""
South Weymouth,Fenway,8,true,""
Newmarket,Nantasket Junction,8,true,""
West Newton,Prudential,8,true,""
Beverly Farms,Babcock Street,8,true,""
Cohasset,Allston Street,8,true,""
Andrew,Nantasket Junction,8,true,""
Sullivan Square,Hastings,8,true,""
Savin Hill,Nantasket Junction,8,true,""
Davis,Providence,8,true,""
North Billerica,Talbot Avenue,8,true,""
Silver Hill,Beverly,8,true,""
Highland,Bowdoin,8,true,""
Lechmere,Lowell,8,true,""
Chestnut Hill,Porter,8,true,""
Waban,Walpole,8,true,""
Canton Junction,Windsor Gardens,8,true,""
Orient Heights,Prides Crossing,8,true,""
Brandon Hall,Charles/MGH,8,true,""
West Concord,Braintree,8,true,""
Ayer,Downtown Crossing,8,true,""
Waltham,Hamilton/Wenham,8,true,""
Shirley,Concord,8,true,""
Forest Hills,Allston Street,8,true,""
JFK/UMass,North Leominster,8,true,""
South Acton,Wickford Junction,8,true,""
Melrose Highlands,Needham Junction,8,true,""
Attleboro,North Quincy,8,true,""
Haverhill,Forest Hills,8,true,""
Airport,Kenmore,8,true,""
Silver Hill,Quincy Center,8,true,""
Longwood Medical Area,Hersey,8,true,""
Wilmington,Wood Island,8,true,""
Framingham,Islington,8,true,""
Shirley,Norwood Central,8,true,""
JFK/UMass,South Attleboro,8,true,""
Fairmount,Littleton/Route 495,8,true,""
Kent Street,Museum of Fine Arts,8,true,""
Ashland,South Street,8,true,""
Roslindale Village,Uphams Corner,8,true,""
Porter,Cohasset,8,true,""
Salem,Warren Street,8,true,""
Fitchburg,Lechmere,8,true,""
Northeastern University,Broadway,8,true,""
Bradford,Newton Centre,8,true,""
Assembly,Longwood Medical Area,8,true,""
Community College,Ballardvale,8,true,""
Sutherland Road,South Weymouth,8,true,""
Chiswick Road,Charles/MGH,8,true,""
Fairmount,Southborough,8,true,""
Wickford Junction,Southborough,8,true,""
Fenwood Road,Readville,8,true,""
Dean Road,Wellington,8,true,""
Bradford,Reading,8,true,""
Foxboro,Melrose/Cedar Park,8,true,""
Wakefield,Sullivan Square,8,true,""
Roslindale Village,Newton Centre,8,true,""
Longwood,South Weymouth,8,true,""
Griggs Street,Uphams Corner,8,true,""
Brookline Hills,Downtown Crossing,8,true,""
Harvard,Providence,8,true,""
South Attleboro,Hyde Park,8,true,""
Jackson Square,Anderson/Woburn,8,true,""
Airport,Cleveland Circle,8,true,""
Boston University Central,Gloucester,8,true,""
Hynes Convention Center,North Leominster,8,true,""
South Street,Brandon Hall,8,true,""
Back Bay,Savin Hill,8,true,""
Bellevue,Chinatown,8,true,""
Hastings,Massachusetts Avenue,8,true,""
Stoughton,Wood Island,8,true,""
Brookline Hills,Assembly,8,true,""
Haverhill,Bowdoin,8,true,""
Plymouth,Cleveland Circle,8,true,""
North Station,Haverhill,8,true,""
Tappan Street,Longwood,8,true,""
Reservoir,Forest Hills,8,true,""
Warren Street,Malden Center,8,true,""
Longwood,Warren Street,8,true,""
Massachusetts Avenue,Maverick,8,true,""
Salem,Waltham,8,true,""
Bowdoin,Quincy Center,8,true,""
Community College,Shirley,8,true,""
Bellevue,Park Street,8,true,""
Newtonville,North Quincy,8,true,""
Riverway,Fenway,8,true,""
Ruggles,Kendal Green,8,true,""
Park Street,North Wilmington,8,true,""
West Natick,Warren Street,8,true,""
Roxbury Crossing,Ruggles,8,true,""
Wellesley Square,East Weymouth,8,true,""
Belmont,Whitman,8,true,""
Hersey,West Gloucester,8,true,""
Allston Street,Natick Center,8,true,""
Bowdoin,Grafton,8,true,""
Greenwood,Roxbury Crossing,8,true,""
Wood Island,Cohasset,8,true,""
Science Park/West End,Greenwood,8,true,""
Roslindale Village,Wood Island,8,true,""
Wakefield,Wellesley Hills,8,true,""
Fenway,Whitman,8,true,""
Forge Park/495,North Scituate,8,true,""
Wickford Junction,Brookline Village,8,true,""
Ipswich,Wedgemere,8,true,""
Forge Park/495,Washington Square,8,true,""
Malden Center,Chiswick Road,8,true,""
Haymarket,Weymouth Landing/East Braintree,8,true,""
Lechmere,Ayer,8,true,""
Boston University East,Waban,8,true,""
South Street,Mishawum,8,true,""
West Roxbury,Warren Street,8,true,""
Brandon Hall,Islington,8,true,""
Attleboro,Hyde Park,8,true,""
Ashmont,Shawmut,8,true,""
Porter,West Medford,8,true,""
Route 128,West Natick,8,true,""
Littleton/Route 495,Lynn,8,true,""
Kenmore,East Weymouth,8,true,""
Arlington,West Medford,8,true,""
Saint Paul Street,Windsor Gardens,8,true,""
Saint Marys Street,Needham Center,8,true,""
Porter,Shawmut,8,true,""
Wickford Junction,Massachusetts Avenue,8,true,""
West Roxbury,Ashmont,8,true,""
North Beverly,Wood Island,8,true,""
Tufts Medical Center,Revere Beach,8,true,""
Alewife,Newburyport,8,true,""
Beachmont,Mission Park,8,true,""
North Wilmington,West Concord,8,true,""
Concord,Canton Center,8,true,""
Grafton,Aquarium,8,true,""
West Concord,Heath Street,8,true,""
Wonderland,Winchester Center,8,true,""
Brookline Village,Newton Highlands,8,true,""
Sutherland Road,Saint Paul Street,8,true,""
Melrose Highlands,Bowdoin,8,true,""
Halifax,Highland,8,true,""
Forge Park/495,Forest Hills,8,true,""
Airport,Ashland,8,true,""
Lincoln,Fairmount,8,true,""
South Station,Savin Hill,8,true,""
Auburndale,Andrew,8,true,""
Fenway,Coolidge Corner,8,true,""
Kendall/MIT,Fenwood Road,8,true,""
Fields Corner,Blandford Street,8,true,""
West Hingham,Forest Hills,8,true,""
Englewood Avenue,Beverly,8,true,""
Mansfield,Airport,8,true,""
Chestnut Hill,Littleton/Route 495,8,true,""
Saint Marys Street,Coolidge Corner,8,true,""
Montserrat,Copley,8,true,""
Walpole,Prudential,8,true,""
Warren Street,Haymarket,8,true,""
Chiswick Road,Roxbury Crossing,8,true,""
Sharon,Forest Hills,8,true,""
Newton Highlands,Brandon Hall,8,true,""
Sharon,Chestnut Hill Avenue,8,true,""
Wickford Junction,Wonderland,8,true,""
Kingston,Worcester/Union Station,8,true,""
Wellesley Farms,Hynes Convention Center,8,true,""
Reading,West Concord,8,true,""
Needham Heights,Community College,8,true,""
Franklin/Dean College,Lowell,8,true,""
Grafton,Plymouth,8,true,""
Downtown Crossing,Coolidge Corner,8,true,""
Melrose/Cedar Park,Prides Crossing,8,true,""
Kent Street,Stoughton,8,true,""
Westborough,Fields Corner,8,true,""
Sullivan Square,Lawrence,8,true,""
T.F. Green Airport,Chestnut Hill Avenue,8,true,""
Boston College,Jackson Square,8,true,""
West Medford,North Quincy,8,true,""
Ashland,Washington Square,8,true,""
Waltham,Reading,8,true,""
Kingston,Weymouth Landing/East Braintree,8,true,""
West Hingham,Cleveland Circle,8,true,""
Franklin/Dean College,JFK/UMass,8,true,""
Fields Corner,West Gloucester,8,true,""
Greenbush,Allston Street,8,true,""
Englewood Avenue,Longwood,8,true,""
Shirley,Blandford Street,8,true,""
Chinatown,Washington Square,8,true,""
Framingham,Heath Street,8,true,""
Needham Heights,Wellesley Farms,8,true,""
Revere Beach,East Weymouth,8,true,""
Lynn,Dean Road,8,true,""
Tufts Medical Center,Wakefield,8,true,""
Four Corners/Geneva,Reservoir,8,true,""
Lynn,Kent Street,8,true,""
Lincoln,Westborough,8,true,""
Andover,Fenway,8,true,""
Dedham Corporate Center,Attleboro,8,true,""
Grafton,Lawrence,8,true,""
Government Center,Central,8,true,""
Longwood Medical Area,Aquarium,8,true,""
Kendal Green,Jackson Square,8,true,""
Andrew,Fitchburg,8,true,""
Shirley,Harvard Avenue,8,true,""
South Weymouth,Endicott,8,true,""
Greenbush,Warren Street,8,true,""
Plimptonville,West Concord,8,true,""
Reservoir,Community College,8,true,""
Englewood Avenue,Waban,8,true,""
Fenway,Reservoir,8,true,""
Chestnut Hill,Babcock Street,8,true,""
Norfolk,Whitman,8,true,""
Wakefield,Bradford,8,true,""
Malden Center,Brandeis/Roberts,8,true,""
Ipswich,Framingham,8,true,""
West Newton,Highland,8,true,""
Andrew,Forge Park/495,8,true,""
Abington,Beachmont,8,true,""
Grafton,Quincy Center,8,true,""
Griggs Street,Hawes Street,8,true,""
Central,Wellesley Square,8,true,""
Saint Paul Street,Uphams Corner,8,true,""
Tappan Street,Airport,8,true,""
North Station,Allston Street,8,true,""
Science Park/West End,South Acton,8,true,""
Griggs Street,Wachusett,8,true,""
Copley,Central,8,true,""
Lechmere,Reading,8,true,""
Framingham,Littleton/Route 495,8,true,""
South Acton,Wellesley Farms,8,true,""
South Street,Symphony,8,true,""
Copley,South Station,8,true,""
Brandon Hall,Providence,8,true,""
North Leominster,Brandeis/Roberts,8,true,""
Norfolk,Warren Street,8,true,""
Hynes Convention Center,Downtown Crossing,8,true,""
Uphams Corner,Wakefield,8,true,""
Natick Center,West Gloucester,8,true,""
Community College,Wellesley Farms,8,true,""
Dean Road,North Billerica,8,true,""
West Gloucester,Readville,8,true,""
Roxbury Crossing,Summit Avenue,8,true,""
Highland,Chestnut Hill Avenue,8,true,""
Heath Street,Melrose Highlands,8,true,""
Fields Corner,Lawrence,8,true,""
Norwood Central,Boston University West,8,true,""
Foxboro,Canton Junction,8,true,""
Pleasant Street,Back Bay,8,true,""
Southborough,Brookline Village,8,true,""
Shirley,Chiswick Road,8,true,""
Readville,Wellesley Farms,8,true,""
Melrose/Cedar Park,Wickford Junction,8,true,""
Roslindale Village,Hanson,8,true,""
Harvard,Ballardvale,8,true,""
T.F. Green Airport,Forest Hills,8,true,""
Canton Junction,Northeastern University,8,true,""
Salem,Westborough,8,true,""
Rowley,South Station,8,true,""
Reservoir,Ayer,8,true,""
Highland,Science Park/West End,8,true,""
Prides Crossing,Kendal Green,8,true,""
North Billerica,Newmarket,8,true,""
Newmarket,Fields Corner,8,true,""
Summit Avenue,Wellesley Square,8,true,""
Back Bay,Rowley,8,true,""
West Hingham,Lechmere,8,true,""
Babcock Street,Lowell,8,true,""
Park Street,Walpole,8,true,""
Andrew,Quincy Adams,8,true,""
Prides Crossing,Harvard Avenue,8,true,""
Jackson Square,Sutherland Road,8,true,""
Tufts Medical Center,Roxbury Crossing,8,true,""
Four Corners/Geneva,North Wilmington,8,true,""
Andover,Brandeis/Roberts,8,true,""
Porter,Greenwood,8,true,""
Eliot,Airport,8,true,""
West Hingham,Prides Crossing,8,true,""
West Gloucester,Brandeis/Roberts,8,true,""
Shawmut,T.F. Green Airport,8,true,""
Aquarium,Mishawum,8,true,""
Newmarket,Morton Street,8,true,""
Brigham Circle,North Quincy,8,true,""
Cleveland Circle,Lynn,8,true,""
Mishawum,Fields Corner,8,true,""
Wakefield,South Weymouth,8,true,""
Melrose Highlands,Ruggles,8,true,""
Blandford Street,Newton Highlands,8,true,""
Uphams Corner,North Billerica,8,true,""
Airport,Lincoln,8,true,""
Quincy Center,Blandford Street,8,true,""
Forest Hills,Wellesley Farms,8,true,""
Providence,Riverside,8,true,""
Braintree,Lincoln,8,true,""
West Roxbury,Central,8,true,""
Newtonville,Tufts Medical Center,8,true,""
Dedham Corporate Center,Englewood Avenue,8,true,""
Fenwood Road,Charles/MGH,8,true,""
Boston University Central,Nantasket Junction,8,true,""
Back of the Hill,Symphony,8,true,""
Warren Street,Abington,8,true,""
Newburyport,Bradford,8,true,""
Back Bay,Needham Junction,8,true,""
Hersey,Montserrat,8,true,""
Museum of Fine Arts,Prides Crossing,8,true,""
Wonderland,Franklin/Dean College,8,true,""
Endicott,Roxbury Crossing,8,true,""
Reservoir,Bradford,8,true,""
Savin Hill,Plimptonville,8,true,""
Harvard Avenue,Boston University East,8,true,""
Bradford,Andrew,8,true,""
Rowley,Wonderland,8,true,""
Kent Street,Greenbush,8,true,""
Halifax,Government Center,8,true,""
Boylston,Hanson,8,true,""
Prides Crossing,Needham Center,8,true,""
