origin,destination,routeCount,ok,mismatches
Bradford,Newton Centre,8,true,""
South Acton,Central,8,true,""
Lawrence,Plymouth,8,true,""
Kendall/MIT,Harvard,8,true,""
Science Park/West End,Haverhill,8,true,""
Wickford Junction,Melrose Highlands,8,true,""
Davis,West Gloucester,8,true,""
Mishawum,Dean Road,8,true,""
Beaconsfield,Newmarket,8,true,""
Porter,Wedgemere,8,true,""
Beverly Farms,Beaconsfield,8,true,""
T.F. Green Airport,Wakefield,8,true,""
Shirley,Montserrat,8,true,""
Yawkey,Worcester/Union Station,8,true,""
Haymarket,South Station,8,true,""
Fenwood Road,Malden Center,8,true,""
North Quincy,T.F. Green Airport,8,true,""
Oak Grove,Forest Hills,8,true,""
Andrew,Wakefield,8,true,""
South Street,Wyoming Hill,8,true,""
Prudential,Silver Hill,8,true,""
Forge Park/495,Providence,8,true,""
Nantasket Junction,Fields Corner,8,true,""
Stony Brook,Wellington,8,true,""
North Billerica,North Wilmington,8,true,""
Plimptonville,East Weymouth,8,true,""
Lynn,Wilmington,8,true,""
Fields Corner,Hyde Park,8,true,""
Stoughton,East Weymouth,8,true,""
Science Park/West End,Assembly,8,true,""
Highland,Mission Park,8,true,""
Braintree,Kent Street,8,true,""
Islington,Auburndale,8,true,""
Allston Street,Bowdoin,8,true,""
Chelsea,Mission Park,8,true,""
Cleveland Circle,Kendall/MIT,8,true,""
Oak Grove,Alewife,8,true,""
Saint Marys Street,Reservoir,8,true,""
Hersey,Kenmore,8,true,""
Heath Street,Chiswick Road,8,true,""
Chiswick Road,Hawes Street,8,true,""
West Newton,Coolidge Corner,8,true,""
Salem,Chiswick Road,8,true,""
Wollaston,Prides Crossing,8,true,""
Kendal Green,Islington,8,true,""
Fields Corner,Back of the Hill,8,true,""
West Natick,Tufts Medical Center,8,true,""
Needham Center,Revere Beach,8,true,""
Ipswich,Islington,8,true,""
Coolidge Corner,Gloucester,8,true,""
Chinatown,Worcester/Union Station,8,true,""
Griggs Street,Washington Street,8,true,""
Aquarium,Newburyport,8,true,""
Revere Beach,Reading,8,true,""
Summit Avenue,Norwood Depot,8,true,""
Fields Corner,Newburyport,8,true,""
Fairmount,Tufts Medical Center,8,true,""
Concord,Beaconsfield,8,true,""
Orient Heights,Wakefield,8,true,""
Plimptonville,Porter,8,true,""
Alewife,Haverhill,8,true,""
Government Center,Orient Heights,8,true,""
Fitchburg,Hynes Convention Center,8,true,""
T.F. Green Airport,Longwood Medical Area,8,true,""
Lynn,Fairmount,8,true,""
Shirley,Weymouth Landing/East Braintree,8,true,""
Beaconsfield,Ballardvale,8,true,""
Islington,Wollaston,8,true,""
Lincoln,Prudential,8,true,""
Melrose/Cedar Park,Lynn,8,true,""
Wollaston,Boston College,8,true,""
Packards Corner,Brigham Circle,8,true,""
Lowell,Endicott,8,true,""
Broadway,South Acton,8,true,""
Swampscott,Fields Corner,8,true,""
Hersey,Back of the Hill,8,true,""
Talbot Avenue,Griggs Street,8,true,""
Forge Park/495,Canton Center,8,true,""
Warren Street,Ashmont,8,true,""
Newmarket,Worcester/Union Station,8,true,""
Plimptonville,Griggs Street,8,true,""
Greenbush,Dean Road,8,true,""
Chestnut Hill Avenue,Assembly,8,true,""
Fairbanks Street,Ballardvale,8,true,""
Reading,Ashland,8,true,""
Montserrat,Concord,8,true,""
Beverly,Plimptonville,8,true,""
Tufts Medical Center,Newmarket,8,true,""
Salem,Gloucester,8,true,""
Kingston,Waban,8,true,""
Ashland,Wilmington,8,true,""
Washington Street,Fenway,8,true,""
Massachusetts Avenue,Copley,8,true,""
North Billerica,Morton Street,8,true,""
Reservoir,Norfolk,8,true,""
Lechmere,Brookline Hills,8,true,""
Riverside,West Medford,8,true,""
Readville,Stoughton,8,true,""
Porter,Gloucester,8,true,""
Science Park/West End,Sutherland Road,8,true,""
Newburyport,Fenway,8,true,""
South Acton,Central,8,true,""
South Street,Green Street,8,true,""
Chestnut Hill Avenue,Davis,8,true,""
Park Street,Heath Street,8,true,""
Concord,Auburndale,8,true,""
Wachusett,Orient Heights,8,true,""
Beaconsfield,Warren Street,8,true,""
Allston Street,Englewood Avenue,8,true,""
Riverway,Blandford Street,8,true,""
Wonderland,Beaconsfield,8,true,""
Malden Center,North Quincy,8,true,""
Fenwood Road,Andover,8,true,""
Walpole,Attleboro,8,true,""
Sharon,Waverley,8,true,""
South Weymouth,North Billerica,8,true,""
Swampscott,Cohasset,8,true,""
Needham Center,Highland,8,true,""
Auburndale,Wellesley Farms,8,true,""
Needham Center,Chestnut Hill,8,true,""
Prudential,JFK/UMass,8,true,""
Cohasset,Reservoir,8,true,""
Manchester,West Newton,8,true,""
Andover,Lowell,8,true,""
Ruggles,Pleasant Street,8,true,""
Aquarium,Attleboro,8,true,""
Brookline Village,Saint Marys Street,8,true,""
Ashmont,Hamilton/Wenham,8,true,""
Plimptonville,Norfolk,8,true,""
Blandford Street,Airport,8,true,""
Englewood Avenue,Babcock Street,8,true,""
Chestnut Hill Avenue,Ashmont,8,true,""
Roslindale Village,Waltham,8,true,""
Museum of Fine Arts,Dedham Corporate Center,8,true,""
Haverhill,Kent Street,8,true,""
Northeastern University,Shirley,8,true,""
Prides Crossing,Four Corners/Geneva,8,true,""
Melrose Highlands,Nantasket Junction,8,true,""
Summit Avenue,Braintree,8,true,""
Greenbush,Concord,8,true,""
Wood Island,North Wilmington,8,true,""
Beverly,Attleboro,8,true,""
Hersey,Charles/MGH,8,true,""
Brandon Hall,Auburndale,8,true,""
Jackson Square,Mishawum,8,true,""
JFK/UMass,Bellevue,8,true,""
Malden Center,Islington,8,true,""
Rowley,Pleasant Street,8,true,""
Wilmington,Wellington,8,true,""
Bradford,West Medford,8,true,""
Forge Park/495,Newmarket,8,true,""
Reading,JFK/UMass,8,true,""
Suffolk Downs,Waltham,8,true,""
Highland,Boston University East,8,true,""
Walpole,Pleasant Street,8,true,""
Prides Crossing,Park Street,8,true,""
Revere Beach,Sullivan Square,8,true,""
Brigham Circle,South Street,8,true,""
Lowell,Riverside,8,true,""
Packards Corner,North Station,8,true,""
Cohasset,Sharon,8,true,""
Summit Avenue,South Attleboro,8,true,""
Windsor Gardens,Waverley,8,true,""
Central,Haverhill,8,true,""
West Newton,Kendall/MIT,8,true,""
Bowdoin,Fairbanks Street,8,true,""
Needham Heights,Yawkey,8,true,""
Braintree,West Concord,8,true,""
South Weymouth,Blandford Street,8,true,""
Plimptonville,Nantasket Junction,8,true,""
Rowley,West Gloucester,8,true,""
Southborough,Broadway,8,true,""
Fields Corner,Auburndale,8,true,""
Roxbury Crossing,Community College,8,true,""
Prudential,Winchester Center,8,true,""
Plimptonville,Rockport,8,true,""
Reading,South Acton,8,true,""
Needham Junction,Kent Street,8,true,""
Dean Road,Kenmore,8,true,""
Norwood Central,Weymouth Landing/East Braintree,8,true,""
North Leominster,South Street,8,true,""
Weymouth Landing/East Braintree,Endicott,8,true,""
South Weymouth,Waverley,8,true,""
Hanson,North Billerica,8,true,""
Warren Street,Morton Street,8,true,""
Hawes Street,Hersey,8,true,""
Ashmont,Weymouth Landing/East Braintree,8,true,""
State,Weymouth Landing/East Braintree,8,true,""
Shawmut,Forest Hills,8,true,""
Kendall/MIT,Weymouth Landing/East Braintree,8,true,""
Aquarium,Kent Street,8,true,""
Salem,Lawrence,8,true,""
West Newton,Greenbush,8,true,""
Stoughton,Jackson Square,8,true,""
Silver Hill,Chestnut Hill Avenue,8,true,""
Waban,Brandeis/Roberts,8,true,""
Suffolk Downs,Kingston,8,true,""
Greenbush,Andrew,8,true,""
Newton Highlands,Cohasset,8,true,""
Tufts Medical Center,Salem,8,true,""
Attleboro,Forge Park/495,8,true,""
Grafton,Windsor Gardens,8,true,""
Hastings,Dean Road,8,true,""
Norwood Depot,Brookline Village,8,true,""
Northeastern University,Ipswich,8,true,""
Boston University East,North Wilmington,8,true,""
Montserrat,Hynes Convention Center,8,true,""
Islington,Boston University West,8,true,""
T.F. Green Airport,Ballardvale,8,true,""
Wellesley Square,Assembly,8,true,""
Babcock Street,Wonderland,8,true,""
Braintree,Ipswich,8,true,""
Auburndale,Bowdoin,8,true,""
Woodland,Fenway,8,true,""
Wellington,Haverhill,8,true,""
Chiswick Road,Riverway,8,true,""
Bradford,Boston University West,8,true,""
Norfolk,Route 128,8,true,""
Canton Center,Stoughton,8,true,""
Bellevue,Quincy Center,8,true,""
Savin Hill,Haymarket,8,true,""
South Station,Route 128,8,true,""
Kendall/MIT,Wellesley Farms,8,true,""
Chestnut Hill,Brookline Village,8,true,""
Swampscott,Rockport,8,true,""
Roxbury Crossing,Salem,8,true,""
Wakefield,Boylston,8,true,""
Dedham Corporate Center,Green Street,8,true,""
Babcock Street,Brookline Hills,8,true,""
Wellesley Hills,Foxboro,8,true,""
West Natick,Greenwood,8,true,""
Riverway,Longwood Medical Area,8,true,""
Wellesley Hills,East Weymouth,8,true,""
Broadway,Riverway,8,true,""
Babcock Street,Mansfield,8,true,""
Central,Nantasket Junction,8,true,""
Waltham,North Beverly,8,true,""
Summit Avenue,Cohasset,8,true,""
Bradford,Park Street,8,true,""
Yawkey,Nantasket Junction,8,true,""
Hyde Park,Brandon Hall,8,true,""
Chiswick Road,Quincy Adams,8,true,""
West Newton,Davis,8,true,""
Arlington,Sutherland Road,8,true,""
Boston University West,Franklin/Dean College,8,true,""
Suffolk Downs,Park Street,8,true,""
Rockport,Chelsea,8,true,""
Canton Center,Manchester,8,true,""
Lechmere,Brookline Village,8,true,""
Natick Center,Revere Beach,8,true,""
Forest Hills,Wilmington,8,true,""
Littleton/Route 495,Green Street,8,true,""
Windsor Gardens,Maverick,8,true,""
Beaconsfield,North Beverly,8,true,""
Norfolk,Cohasset,8,true,""
Wakefield,Porter,8,true,""
Fairmount,Riverway,8,true,""
Hawes Street,Rowley,8,true,""
North Billerica,Hastings,8,true,""
Bradford,Stoughton,8,true,""
Kenmore,Norwood Depot,8,true,""
South Acton,Davis,8,true,""
Waban,West Newton,8,true,""
Davis,West Gloucester,8,true,""
Southborough,Chestnut Hill Avenue,8,true,""
Plymouth,Melrose/Cedar Park,8,true,""
Quincy Adams,Stony Brook,8,true,""
Norfolk,Brookline Hills,8,true,""
Chestnut Hill Avenue,Plimptonville,8,true,""
Hersey,North Leominster,8,true,""
Whitman,Norwood Central,8,true,""
Wilmington,Riverside,8,true,""
Fenwood Road,Museum of Fine Arts,8,true,""
Wellesley Farms,East Weymouth,8,true,""
North Quincy,Waltham,8,true,""
Haymarket,Melrose Highlands,8,true,""
East Weymouth,Manchester,8,true,""
Silver Hill,Melrose/Cedar Park,8,true,""
Hastings,Walpole,8,true,""
Downtown Crossing,Wonderland,8,true,""
Halifax,Islington,8,true,""
Providence,Stoughton,8,true,""
Haymarket,Plimptonville,8,true,""
Needham Heights,Reading,8,true,""
Weymouth Landing/East Braintree,Stoughton,8,true,""
Newmarket,Davis,8,true,""
Chelsea,Waltham,8,true,""
Warren Street,Rockport,8,true,""
Readville,Downtown Crossing,8,true,""
Sullivan Square,North Leominster,8,true,""
Boylston,Winchester Center,8,true,""
Hamilton/Wenham,Salem,8,true,""
Symphony,Halifax,8,true,""
Foxboro,West Newton,8,true,""
Eliot,Wellesley Square,8,true,""
Broadway,Hyde Park,8,true,""
Boylston,Fairmount,8,true,""
Museum of Fine Arts,Wellington,8,true,""
Halifax,Norwood Depot,8,true,""
Mansfield,Montserrat,8,true,""
Wedgemere,Needham Junction,8,true,""
Wellesley Square,Kenmore,8,true,""
Haymarket,West Hingham,8,true,""
Wyoming Hill,Forest Hills,8,true,""
Mishawum,Washington Square,8,true,""
Braintree,Melrose/Cedar Park,8,true,""
Manchester,Alewife,8,true,""
Chestnut Hill,Savin Hill,8,true,""
Brookline Hills,Silver Hill,8,true,""
Copley,Mishawum,8,true,""
Longwood Medical Area,Franklin/Dean College,8,true,""
Franklin/Dean College,Englewood Avenue,8,true,""
Newtonville,Roslindale Village,8,true,""
Kendal Green,Stony Brook,8,true,""
Riverside,Greenbush,8,true,""
Mansfield,Yawkey,8,true,""
West Newton,Nantasket Junction,8,true,""
Kent Street,Newton Centre,8,true,""
Jackson Square,Brookline Village,8,true,""
Fields Corner,Babcock Street,8,true,""
South Street,South Weymouth,8,true,""
Walpole,West Concord,8,true,""
Ashmont,Wellesley Square,8,true,""
Broadway,Newton Highlands,8,true,""
Sutherland Road,Shirley,8,true,""
Uphams Corner,Wedgemere,8,true,""
Central,Abington,8,true,""
Harvard Avenue,Mission Park,8,true,""
Lynn,Lowell,8,true,""
Chestnut Hill,Wilmington,8,true,""
Mission Park,Canton Junction,8,true,""
Hersey,Porter,8,true,""
Rockport,Arlington,8,true,""
Norwood Depot,Symphony,8,true,""
Fenwood Road,Wellesley Hills,8,true,""
Boston College,West Newton,8,true,""
Bellevue,Eliot,8,true,""
Grafton,Montserrat,8,true,""
Allston Street,Plymouth,8,true,""
Winchester Center,Southborough,8,true,""
Roxbury Crossing,Fields Corner,8,true,""
Park Street,Belmont,8,true,""
Wellesley Square,South Station,8,true,""
Uphams Corner,Roxbury Crossing,8,true,""
Natick Center,Canton Junction,8,true,""
Kingston,South Street,8,true,""
Beaconsfield,Tappan Street,8,true,""
Kendal Green,Lowell,8,true,""
Montserrat,Sullivan Square,8,true,""
Boston University Central,Norwood Central,8,true,""
West Medford,Babcock Street,8,true,""
Dean Road,Wachusett,8,true,""
Wachusett,Longwood Medical Area,8,true,""
Ballardvale,Orient Heights,8,true,""
Windsor Gardens,Plymouth,8,true,""
Revere Beach,Museum of Fine Arts,8,true,""
Ashland,Beaconsfield,8,true,""
Riverway,Canton Center,8,true,""
Ballardvale,Andrew,8,true,""
Sutherland Road,Greenbush,8,true,""
Plimptonville,Salem,8,true,""
Mishawum,Framingham,8,true,""
West Roxbury,Newtonville,8,true,""
Sharon,Mishawum,8,true,""
Beverly Farms,Kendal Green,8,true,""
Beaconsfield,Massachusetts Avenue,8,true,""
Stoughton,Harvard Avenue,8,true,""
Newton Centre,T.F. Green Airport,8,true,""
Mishawum,Melrose/Cedar Park,8,true,""
Dean Road,Ballardvale,8,true,""
Broadway,Prudential,8,true,""
Plimptonville,Symphony,8,true,""
Andover,Kenmore,8,true,""
North Beverly,Charles/MGH,8,true,""
East Weymouth,Airport,8,true,""
Westborough,Tufts Medical Center,8,true,""
Stoughton,Endicott,8,true,""
Waverley,Sullivan Square,8,true,""
Islington,South Street,8,true,""
Tufts Medical Center,Symphony,8,true,""
Maverick,Melrose/Cedar Park,8,true,""
Weymouth Landing/East Braintree,Bellevue,8,true,""
Heath Street,West Medford,8,true,""
Franklin/Dean College,Kent Street,8,true,""
Rowley,Aquarium,8,true,""
Hawes Street,Roslindale Village,8,true,""
Riverway,Halifax,8,true,""
Newtonville,Longwood,8,true,""
Malden Center,Shirley,8,true,""
Waban,North Scituate,8,true,""
Broadway,Anderson/Woburn,8,true,""
Harvard Avenue,West Gloucester,8,true,""
Shirley,Readville,8,true,""
West Roxbury,Mission Park,8,true,""
Boylston,Saint Paul Street,8,true,""
Franklin/Dean College,Haymarket,8,true,""
Woodland,Route 128,8,true,""
Norfolk,Washington Street,8,true,""
Wyoming Hill,Wellesley Hills,8,true,""
Cohasset,Norfolk,8,true,""
West Concord,Norwood Central,8,true,""
Warren Street,West Newton,8,true,""
Porter,Abington,8,true,""
Alewife,Central,8,true,""
Beverly,Longwood,8,true,""
Wilmington,Northeastern University,8,true,""
Plymouth,Talbot Avenue,8,true,""
Hynes Convention Center,Shirley,8,true,""
North Billerica,Needham Center,8,true,""
Talbot Avenue,Haverhill,8,true,""
Prides Crossing,Hanson,8,true,""
North Leominster,Brandeis/Roberts,8,true,""
Tufts Medical Center,Nantasket Junction,8,true,""
Massachusetts Avenue,Broadway,8,true,""
Mansfield,Braintree,8,true,""
Andrew,Brandeis/Roberts,8,true,""
Sullivan Square,Englewood Avenue,8,true,""
West Concord,Westborough,8,true,""
Orient Heights,Roslindale Village,8,true,""
Boston University West,Blandford Street,8,true,""
Riverway,Needham Heights,8,true,""
State,Blandford Street,8,true,""
Brookline Hills,Arlington,8,true,""
Needham Junction,Waverley,8,true,""
Hyde Park,Chelsea,8,true,""
Forest Hills,Warren Street,8,true,""
JFK/UMass,Franklin/Dean College,8,true,""
Boston University East,West Medford,8,true,""
Kingston,Eliot,8,true,""
North Leominster,Wollaston,8,true,""
Uphams Corner,Islington,8,true,""
Wakefield,Morton Street,8,true,""
Downtown Crossing,Quincy Center,8,true,""
Wachusett,Beachmont,8,true,""
Brandon Hall,Highland,8,true,""
Arlington,Plymouth,8,true,""
Franklin/Dean College,Ballardvale,8,true,""
Lynn,Lincoln,8,true,""
Natick Center,Nantasket Junction,8,true,""
Wellesley Hills,Attleboro,8,true,""
Littleton/Route 495,Tufts Medical Center,8,true,""
Montserrat,Nantasket Junction,8,true,""
Saint Marys Street,Aquarium,8,true,""
Worcester/Union Station,Copley,8,true,""
Newburyport,South Station,8,true,""
Kent Street,Southborough,8,true,""
Savin Hill,Rowley,8,true,""
Ipswich,Green Street,8,true,""
Nantasket Junction,Warren Street,8,true,""
West Hingham,Dean Road,8,true,""
Newtonville,Griggs Street,8,true,""
Porter,Hyde Park,8,true,""
Halifax,Coolidge Corner,8,true,""
West Medford,Assembly,8,true,""
Winchester Center,Kingston,8,true,""
Ayer,Ashmont,8,true,""
Foxboro,Longwood,8,true,""
Beverly,Canton Center,8,true,""
Alewife,Needham Junction,8,true,""
JFK/UMass,Mansfield,8,true,""
JFK/UMass,Pleasant Street,8,true,""
Wakefield,Anderson/Woburn,8,true,""
Summit Avenue,Bellevue,8,true,""
Packards Corner,Arlington,8,true,""
Wellesley Hills,Sharon,8,true,""
Haymarket,West Natick,8,true,""
Roxbury Crossing,West Concord,8,true,""
Lawrence,Norwood Central,8,true,""
Brandon Hall,Framingham,8,true,""
Andover,Longwood,8,true,""
Northeastern University,Reading,8,true,""
Packards Corner,Waltham,8,true,""
Coolidge Corner,Boston University West,8,true,""
Kenmore,Quincy Center,8,true,""
Forest Hills,Melrose Highlands,8,true,""
Government Center,Brandon Hall,8,true,""
Hanson,Norwood Depot,8,true,""
Wellesley Square,West Concord,8,true,""
Quincy Adams,Morton Street,8,true,""
Melrose/Cedar Park,Pleasant Street,8,true,""
Aquarium,Malden Center,8,true,""
West Concord,Savin Hill,8,true,""
Hawes Street,Wonderland,8,true,""
Brookline Hills,Bellevue,8,true,""
Cohasset,Bradford,8,true,""
Ipswich,Shawmut,8,true,""
Wood Island,Melrose Highlands,8,true,""
Concord,Brookline Village,8,true,""
Mansfield,Greenbush,8,true,""
Chestnut Hill,Walpole,8,true,""
Wyoming Hill,Quincy Adams,8,true,""
Brookline Hills,Melrose/Cedar Park,8,true,""
Gloucester,Waban,8,true,""
Ashland,Norwood Central,8,true,""
North Billerica,Maverick,8,true,""
Newton Centre,Packards Corner,8,true,""
West Roxbury,Forge Park/495,8,true,""
Beverly,Endicott,8,true,""
Haymarket,Islington,8,true,""
Hynes Convention Center,Fenwood Road,8,true,""
Weymouth Landing/East Braintree,Boston University Central,8,true,""
Mission Park,Wickford Junction,8,true,""
Wood Island,Westborough,8,true,""
Oak Grove,Nantasket Junction,8,true,""
Highland,Government Center,8,true,""
Government Center,Fields Corner,8,true,""
Davis,Cohasset,8,true,""
North Beverly,Ruggles,8,true,""
Newtonville,Copley,8,true,""
Ayer,Pleasant Street,8,true,""
Kenmore,Massachusetts Avenue,8,true,""
Forest Hills,Sullivan Square,8,true,""
Wachusett,Saint Paul Street,8,true,""
Mission Park,Roslindale Village,8,true,""
Symphony,Chestnut Hill Avenue,8,true,""
Jackson Square,Hanson,8,true,""
Abington,Heath Street,8,true,""
Rowley,Malden Center,8,true,""
Fenwood Road,Jackson Square,8,true,""
Hanson,T.F. Green Airport,8,true,""
Longwood Medical Area,Science Park/West End,8,true,""
Melrose Highlands,Davis,8,true,""
Woodland,South Station,8,true,""
JFK/UMass,Uphams Corner,8,true,""
Canton Junction,Mansfield,8,true,""
Roslindale Village,Talbot Avenue,8,true,""
Montserrat,Malden Center,8,true,""
Green Street,Beverly,8,true,""
Needham Heights,Ipswich,8,true,""
Shawmut,North Scituate,8,true,""
Providence,Englewood Avenue,8,true,""
Chiswick Road,Orient Heights,8,true,""
Rockport,Grafton,8,true,""
Route 128,Braintree,8,true,""
West Gloucester,Quincy Adams,8,true,""
Boston University Central,Chestnut Hill Avenue,8,true,""
Suffolk Downs,Andrew,8,true,""
Chestnut Hill,Greenwood,8,true,""
Fairbanks Street,Copley,8,true,""
